date,African Distillers Limited,Amalgamated Regional Trading (Art) Holdings Limited,Ariston Holdings Limited,Bridgefort Capital Limited - Class A,Bridgefort Capital Limited - Class B,British American Tobacco Zimbabwe Limited,Cafca Limited,CBZ Holdings Limited,CFI Holdings Limited,Dairibord Holdings Limited,Delta Corporation Limited,Ecocash Holdings Zimbabwe Limited,Econet Wireless Zimbabwe Limited,FBC Holdings Limited,Fidelity Life Assurance Limited,First Mutual Holdings Limited,First Mutual Properties Limited,General Beltings Holdings Limited,Hippo Valley Estates Limited,Mashonaland Holdings Limited,Masimba Holdings Limited,Meikles Limited,Nampak Zimbabwe Limited,National Tyre Services Limited,NMBZ Holdings Limited,OK Zimbabwe Limited,Proplastics Limited,Rainbow Tourism Group Limited,RioZim Limited,Seed Co Limited,Starafrica Corporation Limited,Tanganda Tea Company Limited,TSL Limited,Turnall Holdings Limited,Unifreight Africa Limited,Willdale Limited,ZB Financial Holdings Limited,Zeco Holdings Limited,Zimbabwe Newspapers (1980) Limited,Zimre Holdings Limited
2024-6-4,
2024-6-5,0,0,14200,0,0,0,0,1200,0,1200,252100,42700,12300,138200,1800,0,2400,7400,200,800,300,600,900,0,2500,106700,400,900,0,0,0,19500,0,11100,0,217200,100,0,0,4800,600,14500,0,0,0,0,0,10300,77500,924600,712000,0,10000,500,500,8100,30500,0,1100,0,4600,800,0,0,147700,0,900,0,39300,2500,700,5800,33000,0,138200,0,0,0,23200
2024-6-6,0
2024-6-7,0,0,15500,0,0,0,200,0,0,240400,200,47700,20500,100,12200,0,0,27800,0,0,40800,2400,0,0,0,81700,200,0,0,14000,309100,0,10400,300,7400,0,0,0,2500,84100
2024-6-10,0,0,3700,0,0,300,0,0,180100,20900,422100,0,1100,0,200,0,300,0,100,11100,0,0,0,67800,462600,500,0,5500,279100,600,0,98200,3200,7200,1400,0,0,3300,0,0
2024-6-10,0,0,3700,0,0,0,300,0,0,0,20900,422100,0,1100,0,200,0,300,0,100,11100,0,0,0,67800,462600,500,0,5500,279100,600,0,98200,3200,1400,0,7200,0,3300,180100
2024-6-11,0,0,1000,0,6900,0,0,144100,7200,171500,366700,0,0,200,0,4200,200,49300,81600,0,26400,17800,900,800,0,100,61300,0,800,25300,1200,0,200,0,0,35900,0,0,0,0
2024-6-12,200,4500,0,0,13800,0,100,1900,0,88300,30163600,264300,0,0,0,0,0,0,1900,100,2000,500,0,0,0,2300,0,0,125900,375100,173800,415200,0,304000,0,0,0,6000,0,0,0,200,1300,100,0,125200,0,511800,13000,1652900,0,0,100,11200,0,0,0,5400,87800,0,0,101400,0,200,500,0,0,243300,2400,8500,5000,0,1100,0,0,0,7500
2024-6-13,0,0,0
2024-6-14,0,0,5600,0,0,0,0,3500,0,0,359400,4100,12900,0,60000,0,0,0,0,0,0,1500,0,0,0,100,15100,0,0,0,397500,0,0,3200,0,11200,400,0,0,3200
2024-6-17,0,0,15000,0,0,0,0,42200,0,6300,184900,2000,2100,31600,0,0,0,3100,0,1600,0,0,300,0,22700,13900,446900,3900,0,0,268800,147000,0,0,0,17900,0,0,0,500
2024-6-18,600,0,2600,0,0,0,0,1700,0,0,13600,228300,53100,0,10400,0,0,79700,0,14400,0,1400,0,0,0,414900,100200,3300,0,6300,11500,15400,0,10000,0,102000,8000,0,0,7000
2024-6-19,1100,16200,0,0,300,0,0,0,100,44300,11900,140400,0,0,0,0,0,0,0,0,48600,0,0,0,963900,0,10700,0,17700,1318800,8800,0,100,0,30500,400,0,0,24000
2024-6-19,1100,16200,0,0,300,0,0,0,100,44300,11900,140400,0,0,0,0,0,0,0,0,48600,0,0,0,963900,0,10700,0,17700,1318800,8800,0,100,0,30500,400,0,0,24000
2024-6-19,100,1100,16200,0,0,300,0,0,0,100,44300,11900,140400,0,0,0,0,0,0,0,0,48600,0,0,0,963900,0,10700,0,17700,1318800,8800,0,100,0,30500,400,0,0,24000
2024-6-20,0,7351900,4400,0,0,0,0,300,0,1300,614900,15721200,17700,0,0,0,0,0,0,0,0,200,0,0,200,6000,0,2600,0,0,328200,500,600,1000,0,20900,200,0,1100,25600
