date,ZSE Financials Index,ZSE Consumer Discretionary Index,ZSE Consumers Staples Index,ZSE Industrials Index(New),ZSE ICT,ZSE Materials,ZSE Real Estate,Modified Consumer Staples,ZSE Agriculture,ZSE ETF,ZNSMI Index
2024-5-28,97.95,115.87,102.33,98.90,91.34,97.42,130.89,101.87,87.70,107.25,92.33
2024-5-29,97.97,115.87,107.88,96.54,87.77,97.62,132.23,105.40,87.71,107.25,93.62
